epoch,accuracy,learning_rate,loss,val_accuracy,val_loss
0,0.9805999994277954,0.0010000000474974513,0.06290190666913986,0.9912499785423279,0.02138284221291542
1,0.9904000163078308,0.0010000000474974513,0.03170769661664963,0.9800000190734863,0.06051771715283394
2,0.9916999936103821,0.0010000000474974513,0.025335151702165604,0.9837499856948853,0.04378356784582138
3,0.9950000047683716,0.00010000000474974513,0.014468544162809849,0.9950000047683716,0.011785740032792091
4,0.9962000250816345,0.00010000000474974513,0.012272914871573448,0.9937499761581421,0.010512420907616615
5,0.9965000152587891,0.00010000000474974513,0.010624701157212257,0.9962499737739563,0.00847573485225439
6,0.9959999918937683,0.00010000000474974513,0.012779496610164642,0.9962499737739563,0.008602074347436428
7,0.9958999752998352,0.00010000000474974513,0.01085848268121481,0.9962499737739563,0.009064337238669395
8,0.9973999857902527,1.0000000656873453e-05,0.008670157752931118,0.9962499737739563,0.009044600650668144
9,0.9962999820709229,1.0000000656873453e-05,0.011272789910435677,0.9962499737739563,0.009217427112162113
